,clicked_displayed_positions,counts_click_top_25,share_prec
0,0.0,505679,0.30224364108436874
1,1.0,212969,0.12729127766448067
2,2.0,145547,0.08699324122399114
3,3.0,110210,0.06587236504562831
4,4.0,92428,0.055244088162937424
5,5.0,74113,0.04429723791513158
6,6.0,65114,0.03891854802269342
7,7.0,53947,0.03224404751943118
8,8.0,48173,0.02879293568045597
9,9.0,42452,0.02537350186840589
10,10.0,37743,0.022558939061039375
11,11.0,33002,0.019725249897793534
12,12.0,30852,0.01844019786215157
13,13.0,26507,0.015843197352912345
14,14.0,24429,0.014601179617998858
15,15.0,23095,0.013803849657279611
16,16.0,20649,0.012341878829753915
17,17.0,19322,0.01154873275938327
18,18.0,17874,0.01068326515584394
19,19.0,16266,0.009722165772907996
20,20.0,15274,0.009129248740649005
21,21.0,14678,0.008773020362396628
22,22.0,13548,0.00809762092040806
23,23.0,13301,0.007949989360964542
24,24.0,15912,0.009510580460992993
