,clicked_item_id,clicked_counts,impressed_item_ids,ipression_count,CTR
69630,1455251.0,2297,1455251,3455,0.6648335745296672
40605,436036.0,1544,436036,2413,0.639867384997928
83328,2055010.0,1507,2055010,2192,0.6875
30235,117840.0,1049,117840,1476,0.7107046070460704
65450,1330971.0,989,1330971,1381,0.7161477190441708
33514,148313.0,907,148313,1754,0.5171037628278221
26212,100770.0,772,100770,1285,0.6007782101167315
25472,99018.0,724,99018,1215,0.5958847736625514
23528,93388.0,662,93388,849,0.7797408716136631
44781,640926.0,658,640926,1541,0.426995457495133
