,cnt_displayed_position,avg_displayed_position,impressed_item_ids,ipression_count,CTR
0,250,2.28,5563,790,0.31645569620253167
1,369,2.5365853658536586,5742,781,0.47247119078104993
2,254,5.488188976377953,6743,2048,0.1240234375
3,282,5.450354609929078,6753,2354,0.11979609175870858
4,623,2.319422150882825,6768,3159,0.19721430832541945
5,268,6.2611940298507465,6773,2164,0.12384473197781885
6,772,3.051813471502591,6776,4026,0.19175360158966717
7,281,4.918149466192171,6812,2190,0.12831050228310503
8,270,2.3777777777777778,6877,446,0.6053811659192825
9,270,5.7592592592592595,6975,4301,0.06277609858172518
10,1140,2.406140350877193,6977,8080,0.14108910891089108
11,379,4.395778364116095,6986,6680,0.056736526946107785
12,244,1.6147540983606556,7080,1137,0.21459982409850484
13,328,2.1280487804878048,7081,2401,0.136609745939192
14,518,1.6177606177606179,7137,1352,0.3831360946745562
15,352,1.9914772727272727,7202,2761,0.12749003984063745
16,250,3.5,7211,1016,0.24606299212598426
17,454,5.676211453744493,7236,4420,0.10271493212669683
18,274,6.021897810218978,7237,2589,0.10583236770954037
19,332,4.521084337349397,7330,1263,0.26286619160728425
20,316,3.240506329113924,7391,1575,0.20063492063492064
21,698,0.9326647564469914,7447,2064,0.3381782945736434
22,373,2.60857908847185,7485,1695,0.2200589970501475
23,256,3.90234375,7486,1442,0.17753120665742025
24,553,0.014466546112115732,7627,554,0.9981949458483754
25,267,3.6179775280898876,8284,1010,0.26435643564356437
26,364,4.697802197802198,8285,1027,0.35443037974683544
27,474,1.4451476793248945,8312,1206,0.39303482587064675
28,401,2.2693266832917707,8320,1210,0.33140495867768593
29,410,4.109756097560975,8518,2250,0.18222222222222223
30,705,5.170212765957447,8551,2412,0.2922885572139303
31,296,7.554054054054054,8564,2151,0.13761041376104138
32,268,6.485074626865671,8577,1809,0.14814814814814814
33,385,7.675324675324675,8586,1792,0.21484375
34,493,6.31237322515213,8589,2659,0.1854080481383979
35,432,2.7268518518518516,8618,2849,0.15163215163215163
36,387,5.142118863049095,8621,1910,0.20261780104712043
37,500,4.116,8772,1824,0.2741228070175439
38,728,2.583791208791209,8792,1834,0.3969465648854962
39,300,5.8933333333333335,8894,2404,0.12479201331114809
40,257,3.5992217898832686,8899,1417,0.18136908962597037
41,542,1.514760147601476,8916,1758,0.3083048919226394
42,1553,1.1448808757244044,8928,4000,0.38825
43,856,1.9929906542056075,11316,5117,0.16728551885870627
44,331,5.498489425981873,11317,4556,0.07265144863915715
45,410,4.014634146341463,11321,4935,0.08308004052684904
46,707,1.7892503536067892,11322,4294,0.16464834653004193
47,451,0.516629711751663,11500,496,0.9092741935483871
48,277,7.956678700361011,12356,5772,0.04799029799029799
49,553,7.35623869801085,12357,7057,0.0783619101601247
50,1084,2.0940959409594098,12361,8803,0.12313983869135522
